id,LGD
LN14086568,0.37944594
LN37082418,0.744165
LN42963368,0.43225986
LN54572294,0.75706095
LN65792799,0.15387358
LN63418878,0.32062206
LN90799256,0.5516793
LN57304476,0.45254272
LN45149378,0.12009317
LN74570540,0.63308054
LN53307075,0.09729484
LN93046421,0.40914083
LN33980447,0.41886827
LN61744771,0.15661795
LN67022079,0.2847756
LN45220043,0.09537241
LN64169040,0.09170747
LN35174100,0.6097616
LN64693542,0.7098329
LN45061128,0.5671172
LN30704573,0.12762672
LN13313979,0.4061283
LN63495982,0.7494246
LN87005031,0.76132995
LN19066522,0.56626356
LN24634110,0.78296006
LN97279529,0.24314529
LN63452165,0.15333802
LN82003020,0.4929486
LN65658706,0.62646306
LN89810178,0.56108123
LN48633896,0.16857831
LN40899189,0.5772563
LN90069065,0.22089761
LN10033713,0.29781812
LN87716413,0.5569188
LN21872269,0.5150353
LN14752266,0.55215883
LN32688101,0.68381834
LN29285441,0.5142574
LN13211301,0.48696592
LN27519238,0.54844326
LN61589724,0.47981256
LN39111074,0.57092774
LN39207009,0.47007298
LN13532050,0.43272474
LN99569582,0.10933904
LN18221102,0.43050805
LN67674159,0.07433213
LN31967123,0.51881367
LN70740783,0.6349495
LN22811762,0.5123267
LN78443233,0.23261446
LN34600187,0.15932396
LN62693886,0.07915602
LN11560466,0.72132385
LN76041339,0.46160746
LN17722203,0.7333358
LN62646289,0.7049705
LN85466625,0.33552733
LN39947610,0.4776761
LN28795112,0.6049462
LN64427021,0.11670794
LN90954432,0.24924983
LN57415876,0.5887967
LN33908654,0.29207066
LN63814026,0.6492808
LN84670331,0.44459602
LN14057985,0.77921474
LN20802935,0.12914199
LN49462899,0.33142066
LN87452365,0.44370538
LN25060826,0.35040194
LN15474516,0.4618949
LN51892804,0.54132605
LN14673520,0.50866616
LN84808461,0.26012218
LN75426816,0.63540167
LN91977214,0.7197391
LN87850995,0.43837613
LN49692442,-0.0031647675
LN80870467,0.59221125
LN71462492,0.24786358
LN19552809,0.23602101
LN92753806,0.69678926
LN11099293,0.20619875
LN76741292,0.50057095
LN17213188,0.53907675
LN10382733,0.54570806
LN70409084,0.17926702
LN49410541,0.59122694
LN36495480,0.39029363
LN50362893,0.28474417
LN36821120,0.48102412
LN18089950,0.733811
LN46736792,0.47886905
LN77060402,0.1953772
LN46408344,0.6306977
LN71332251,0.1878022
LN10164126,0.41932356
LN87223391,0.75580484
LN92152683,0.56175
LN28702245,0.1891615
LN11103539,0.6686491
LN80740275,0.24774995
LN16787411,0.74375874
LN92801965,0.3076544
LN60737661,0.37166116
LN56412806,0.40386733
LN39124832,0.554654
LN90532101,0.09383787
LN10245821,0.33879706
LN27865198,0.4487042
LN18444890,0.5778308
LN31451938,0.6045855
LN80943875,0.68741643
LN20314735,0.3364754
LN99507124,0.42250404
LN40131746,0.34639534
LN50193365,0.14848611
LN68127865,0.100137204
LN44158072,0.63033956
LN60452452,0.6567894
LN51385837,0.5780686
LN76877369,0.4410018
LN19768016,0.555285
LN90089526,0.11619546
LN67022030,0.10462918
LN49390219,0.13997272
LN42208516,0.12811702
LN66931203,0.67726946
LN29122834,0.55172837
LN20498434,0.17935623
LN70179694,0.36771417
LN43157641,0.09522645
LN59665421,0.62311053
LN99054255,0.42671385
LN43596045,0.31257635
LN64696029,0.5733926
LN12725814,0.5824606
LN59386887,0.7581603
LN26285656,0.26435798
LN47974869,0.43119824
LN41125795,0.37229386
LN99297413,0.3194283
LN68647940,0.58697134
LN84158050,0.35509208
LN91154075,0.5812754
LN59127081,0.3449083
LN25225473,0.5383995
LN67531416,0.21292499
LN21289605,0.18499972
LN47163703,0.75897187
LN44217962,0.25377712
LN46271123,0.31503236
LN93235876,0.6235401
LN90228748,0.44183493
LN69958696,0.09323038
LN84257018,0.5597027
LN25612476,0.5094749
LN63967951,0.59567803
LN75308249,0.1984936
LN41372718,0.36948913
LN57193885,0.5923935
LN31449416,0.6564032
LN62032853,0.50265837
LN13962291,0.10030777
LN57871117,0.21755765
LN31701311,0.4692812
LN67718588,0.27482706
LN50409616,0.43342295
LN51877859,0.7262585
LN40800110,0.37377557
LN96226880,0.76116097
LN39539743,0.12619342
LN95584157,0.20916751
LN61871628,0.7006973
LN17525077,0.3718223
LN74242664,0.27768037
LN92955946,0.10142098
LN38420999,0.602932
LN19770254,0.44184145
LN48562804,0.14813042
LN40486024,0.38926646
LN86006894,0.18988301
LN58963866,0.2493854
LN43093708,0.3774392
LN71656769,0.29867396
LN46215825,0.18059416
LN93324642,0.6237643
LN67123154,0.24103187
LN13200606,0.32092866
LN69756635,0.6042354
LN83270483,0.24528642
LN67041716,0.36021787
LN18708070,0.5103407
LN53449670,0.44578943
LN40103357,0.48161528
LN12678850,0.77759683
LN22444429,0.5853562
LN28414226,0.053468775
LN39396599,0.73325694
LN55771964,0.5302274
LN47839601,0.63985956
LN83310702,0.13139366
LN70866266,0.4862693
LN84341716,0.15298635
LN23434800,0.5628509
LN95476542,0.15228833
LN62728778,0.7053243
LN61225380,0.4954135
LN72789439,0.09726762
LN43165729,0.5908622
LN88667310,0.44315496
LN79403407,0.33031046
LN83994418,0.32750604
LN12647958,0.42212114
LN28674872,0.71427345
LN47739874,0.68923575
LN63847956,0.09955583
LN78307883,0.4967222
LN64117699,0.62493926
LN25959520,0.11229111
LN26490837,0.72518003
LN88782984,0.26387912
LN48184048,0.08780122
LN92903530,0.45783824
LN95442879,0.12641218
LN78714928,0.58929604
LN22983545,0.31838977
LN48461861,0.6489084
LN12532562,0.29341477
LN46442403,0.2157449
LN50324700,0.10780783
LN18747579,0.6802184
LN43571322,0.41134447
LN40592511,0.43392146
LN54894086,0.16637926
LN82461133,0.7197084
LN77722142,0.12922716
LN30476401,0.68329686
LN54552793,0.41722634
LN82791606,0.59509635
LN61151034,0.62497437
LN80390801,0.6104287
LN98181281,0.60866094
LN30565502,0.6535294
LN41452287,0.30903777
LN14992954,0.74284506
LN25231377,0.73612094
LN57088807,0.61936957
LN81961155,0.3458459
LN27385034,0.63628805
LN25807889,0.20251869
LN13952263,0.083042234
LN66629867,0.55438507
LN10404565,0.22155882
LN79212000,0.22926854
LN57187789,0.19995606
LN73347968,0.4883462
LN58623890,0.37082908
LN85256753,0.41674435
LN50695882,0.7030986
LN90603645,0.2477371
LN34753454,0.4764054
LN70424587,0.28178653
LN92793352,0.44409278
LN20802121,0.44801626
LN77498893,0.370669
LN32200079,0.64498127
LN38863902,0.5175851
LN49086713,0.43785098
LN60644378,0.6201349
LN30857372,0.41371813
LN35737470,0.4425549
LN80229863,0.41101497
LN68066232,0.34708747
LN88074906,0.53616
LN63344597,0.25639537
LN60579944,0.5788366
LN26745810,0.19462255
LN66996205,0.7177776
LN13540771,0.35772395
LN54626091,0.7119523
LN53043877,0.63401777
LN29823916,0.07379154
LN11761565,0.20076106
LN27505350,0.2718125
LN87577497,0.6303109
LN31187397,0.6718422
LN26159615,0.16122414
LN24067827,0.5124928
LN64244554,0.79869914
LN64700609,0.11413519
LN85286559,0.53469956
LN71614415,0.7981294
LN24190143,0.43084648
LN95378478,0.30884263
LN82259178,0.6268998
LN65913068,0.3981114
LN14918694,0.30670583
LN55714289,0.39432636
LN32608575,0.17628752
LN31113424,0.55148244
LN31432810,0.42812392
LN99097270,0.49791378
LN73641931,0.6791823
LN89676299,0.16065015
LN61135121,0.61231846
LN47404379,0.16471232
LN37755942,0.7585034
LN18253709,0.31834194
LN46419727,0.32123044
LN15255767,0.20755967
LN85627655,0.3749736
LN78888685,0.64551306
LN44427792,0.6233998
LN36828570,0.5105922
LN27175325,0.50359833
LN86860953,0.40916082
LN54957620,0.39493114
LN48867972,0.6502857
LN60991245,0.08211576
LN43281688,0.33541104
LN42283566,0.58023673
LN88368304,0.5078475
LN95034998,0.8048275
LN68677370,0.54141635
LN34430122,0.39350134
LN22183288,0.436629
LN82209229,0.3448756
LN40154669,0.5749534
LN13476968,0.28418124
LN36508857,0.077301055
LN85278943,0.2899736
LN63215808,0.11743831
LN53814049,0.43340692
LN99626586,0.17601076
LN82441387,0.10573539
LN77176694,0.6978223
LN43567065,0.46643236
LN20238190,0.56543237
LN26398592,0.2231405
LN73232370,0.15715317
LN40517654,0.7302728
LN56211006,0.28761446
LN24648299,0.19982477
LN82661471,0.23534696
LN96652562,0.2044396
LN19053941,0.26136366
LN91978818,0.3834482
LN74126867,0.66359746
LN59555308,0.32506725
LN20075218,0.4053266
LN36804913,0.4997423
LN25422733,0.4737616
LN47037042,0.8060297
LN39955749,0.5149701
LN32160236,0.5376872
LN97369770,0.4147501
LN43578915,0.14960107
LN58827381,0.29217637
LN46809307,0.24809858
LN68867014,0.4596854
LN93050253,0.57335156
LN75183705,0.573136
LN13995315,0.35511142
LN85293049,0.100083835
LN51609992,0.5061177
LN33859855,0.78711224
LN95416388,0.68025064
LN69966304,0.23918244
LN89870455,0.7106324
LN31775531,0.59980345
LN43117830,0.47302228
LN18319341,0.6815396
LN51362728,0.6117316
LN37848740,0.5105533
LN28248690,0.485247
LN86294025,0.22182615
LN22119206,0.08815517
LN15546702,0.6215919
LN10639493,0.6925758
LN76402302,0.15804793
LN82638995,0.4777477
LN85182406,0.5218537
LN20639629,0.7592848
LN74537333,0.72349125
LN14206685,0.7126299
LN61605507,0.45347774
LN87081904,0.31711546
LN49615424,0.38990092
LN53388879,0.6432609
LN31599949,0.7102126
LN72635108,0.5504654
LN88027678,0.24307539
LN82284184,0.51523274
LN24569964,0.23618282
LN98224722,0.7752634
LN17295233,0.08913828
LN71133273,0.28766212
LN26399785,0.097318515
LN48582559,0.42787206
LN66029646,0.17774543
LN78521026,0.52963364
LN22172399,0.4599551
LN49319221,0.40407002
LN48348426,0.21052329
LN42913307,0.28101566
LN79479601,0.4244382
LN37745565,0.5161218
LN84347888,0.6500556
LN87037664,0.093586944
LN53810479,0.41858602
LN50157017,0.44277132
LN59103315,0.7073457
LN35704361,0.4548144
LN20032856,0.7319737
LN50618212,0.071373664
LN50972286,0.5367142
LN17859861,0.40619838
LN36457755,0.52877265
LN26513467,0.2939271
LN13769949,0.5818839
LN22441506,0.46182063
LN35675215,0.15615098
LN44159378,0.23443465
LN45944664,0.12224178
LN34942798,0.33522364
LN20102041,0.78063416
LN80830548,0.25646472
LN38339029,0.7364613
LN40232798,0.7090676
LN16664244,0.12705135
LN97309638,0.32530853
LN37436147,0.7574576
LN50441620,0.12434197
LN10886942,0.41674638
LN19719587,0.34994906
LN69359018,0.17854361
LN36275544,0.5742003
LN50629176,0.08554675
LN52242369,0.07994719
LN46155901,0.11568087
LN60083023,0.43235567
LN52227755,0.11192752
LN75410050,0.45391807
LN40546085,0.60312814
LN81365890,0.3804151
LN24299490,0.2696617
LN98117546,0.3204826
LN60629966,0.44084996
LN18373771,0.63904953
LN80483328,0.32742512
LN40837379,0.42480317
LN66218059,0.18816938
LN86383952,0.4313687
LN84964672,0.73301786
LN56006542,0.59025097
LN30369930,0.67120993
LN76905584,0.56459236
LN71841796,0.28137904
LN82982235,0.44259098
LN80880421,0.43215257
LN54342657,0.6100773
LN26042151,0.12634705
LN31830580,0.5363468
LN34859572,0.51187
LN72588967,0.20823286
LN34609658,0.36512268
LN41404052,0.51027435
LN61345073,0.26886022
LN63175563,0.46239635
LN64951350,0.37068117
LN97884732,0.64337444
LN46996584,0.37529647
LN73539214,0.44737673
LN25675740,0.6131415
LN31584129,0.21526638
LN73968207,0.12469939
LN68416071,0.70279235
LN15303746,0.10149537
LN36521130,0.45769352
LN96132725,0.11732218
LN36932719,0.4414121
LN63248529,0.13067582
LN11170295,0.6609532
LN50861218,0.502395
LN85710284,0.3350874
LN26503109,0.42175007
LN53169074,0.13595518
LN73198882,0.52320397
LN79714375,0.73110026
LN48605788,0.47350064
LN56886311,0.6644576
LN33418369,0.63970083
LN67002595,0.57709265
LN48923717,0.25775057
LN23714888,0.46466684
LN10919398,0.44184658
LN79384965,0.61550623
LN59861805,0.6251328
LN19087211,0.5582029
LN24253897,0.309074
LN83678845,0.53220695
LN69826039,0.43773627
LN80495042,0.45704222
LN85992122,0.18817575
LN95733075,0.6151166
LN29607396,0.102472395
LN24464068,0.44173384
LN79707904,0.2894082
LN26718727,0.37422785
LN17855020,0.47475472
LN51154938,0.5746815
LN80236239,0.28428742
LN79541933,0.32724974
LN38598564,0.6010935
LN68229451,0.4114001
LN11882549,0.74956626
LN35040143,0.45637652
LN91011547,0.73691535
LN37510359,0.17846365
LN68885768,0.088685006
LN89188487,0.50225896
LN42560030,0.41575065
LN64833804,0.6716032
LN13395113,0.6139066
LN26705262,0.48895004
LN12527628,0.2948184
LN54313833,0.22078083
LN20989504,0.6393036
LN61652435,0.69149816
LN91197609,0.18658495
LN85682338,0.4429232
LN43033540,0.42230338
LN55674591,0.42367166
LN83430621,0.518768
LN70815310,0.60611326
LN44161501,0.39956063
LN39831100,0.09364716
LN73812775,0.39858878
LN88873552,0.46486494
LN95744308,0.37543285
LN72408857,0.1280606
LN62708761,0.2589917
LN27908513,0.4030342
LN55660796,0.28751415
LN49795921,0.45926902
LN31504850,0.061492234
LN37482866,0.43784165
LN20950181,0.17069893
LN73588648,0.63280344
LN50482661,0.45339847
LN66802397,0.16402988
LN64217870,0.67249376
LN95975734,0.4378452
LN99626326,0.4981165
LN89749207,0.3407815
LN68824851,0.33316272
LN40152905,0.09416734
LN16270292,0.59641606
LN41315546,0.76056486
LN80692253,0.63271534
LN66259085,0.3666496
LN26108160,0.45566618
LN17040491,0.24493495
LN25486878,0.67098516
LN40623700,0.64511687
LN83024897,0.18225962
LN56177040,0.46473813
LN30240314,0.53841794
LN65026128,0.14886907
LN96573202,0.27588978
LN73299127,0.3511506
LN13862157,0.70812684
LN75999740,0.26866132
LN48787506,0.42035535
LN98533663,0.5068806
LN53143513,0.42458186
LN61889824,0.10851149
LN75471726,0.6967244
LN88299748,0.5241222
LN14731567,0.18967634
LN75466400,0.59349036
LN58653554,0.4316912
LN27068143,0.6104227
LN48730635,0.3566467
LN88366171,0.78777045
LN93711307,0.7344658
LN77045344,0.52646446
LN81864248,0.23405853
LN16157416,0.49233884
LN77605502,0.6030736
LN86037918,0.23579305
LN21233399,0.07179376
LN29018991,0.37372014
LN92744443,0.28049707
LN56667917,0.5427472
LN74637604,0.1304674
LN83379362,0.2130437
LN60550108,0.4409905
LN85732946,0.7646213
LN83567060,0.7393895
LN95855921,0.56645674
LN62599315,0.40436354
LN31814199,0.15023324
LN36204806,0.15420273
LN92374997,0.5991678
LN86829840,0.42025197
LN92613646,0.6708617
LN30204817,0.5498609
LN20505816,0.40214583
LN27620490,0.09166637
LN51227031,0.37376645
LN84558902,0.38308135
LN65246075,0.36834392
LN60979989,0.52402765
LN11274862,0.25050434
LN37814391,0.20516792
LN32412754,0.6704549
LN21226880,0.76090014
LN94523990,0.4123311
LN12430343,0.5253607
LN25203991,0.26057613
LN42167128,0.19489403
LN45630380,0.6511577
LN49893374,0.77062774
LN52062528,0.5509168
LN19017283,0.7268721
LN54854923,0.6753374
LN86945897,0.12909651
LN61073791,0.13265926
LN56617968,0.37866393
LN30332193,0.33462566
LN81707874,0.39916494
LN74410184,0.15911102
LN38440829,0.6939479
LN56466793,0.55207455
LN19532869,0.40382347
LN18573725,0.572702
LN27095486,0.23850039
LN57207187,0.78814995
LN50899911,0.5840708
LN85511397,0.42953607
LN83583056,0.1914658
LN18939556,0.50155693
LN36466409,0.7774193
LN48159524,0.653079
LN26652679,0.11901856
LN20726647,0.43987224
LN89983277,0.14052862
LN37334742,0.22480439
LN15774547,0.47355974
LN15046679,0.69679207
LN29442947,0.179581
LN43966746,0.4544356
LN37304580,0.24785572
LN59679685,0.15240926
LN77225114,0.12688383
LN36878351,0.09176544
LN39635324,0.12266022
LN73174297,0.36524883
LN76985895,0.37362623
LN40135754,0.16273901
LN13011141,0.55089474
LN49125370,0.12371101
LN52920205,0.47116342
LN82909852,0.73756665
LN21179236,0.35889134
LN82109342,0.31831035
LN29576292,0.21434702
LN79645749,0.11923388
LN26690046,0.46539712
LN57080813,0.6205873
LN58267002,0.22374117
LN52485335,0.42140287
LN83728739,0.11072367
LN77278379,0.2250092
LN70542292,0.5309806
LN75093690,0.799158
LN29201757,0.12808925
LN65816191,0.21456335
LN13392792,0.30736908
LN23930901,0.28736126
LN93578178,0.62732613
LN72882056,0.20609875
LN25801836,0.21535452
LN77925422,0.36947194
LN81154146,0.2899244
LN12101852,0.33185327
LN25439268,0.7645716
LN17505669,0.7561897
LN32045307,0.27153698
LN20234185,0.59647363
LN80793570,0.6652374
LN30824688,0.10548489
LN22619060,0.15155648
LN99870749,0.509133
LN80738490,0.76947665
LN63847836,0.4353972
LN73418421,0.4504908
LN81669373,0.42023984
LN55012532,0.7694688
LN50815656,0.6448295
LN48546207,0.40919653
LN47189630,0.14704831
LN48923106,0.59742415
LN97447736,0.5119999
LN86751976,0.54988295
LN35813300,0.48207247
LN73610307,0.120833576
LN70102396,0.07108966
LN74059661,0.7697986
LN46081746,0.49376693
LN83979326,0.7589715
LN46729391,0.45816
LN25715246,0.65250194
LN74884335,0.47684488
LN56310951,0.5068898
LN93638719,0.45407996
LN67487006,0.09452997
LN81361762,0.18267657
LN43873240,0.12070625
LN22880182,0.2534361
LN72570445,0.41225302
LN37747154,0.1746738
LN25531344,0.2662904
LN17604781,0.42193297
LN31297966,0.22608738
LN32516514,0.25606132
LN92595550,0.5783692
LN80688434,0.523148
LN39495948,0.38874313
LN25885918,0.6305617
LN56265728,0.39723277
LN22427206,0.23977531
LN56678558,0.37725982
LN60847656,0.5833197
LN25366738,0.10404451
LN80911096,0.45903987
LN74715255,0.4313602
LN14294652,0.06229813
LN11189371,0.4903208
LN59684467,0.7259738
LN44475135,0.5098944
LN11901843,0.4367392
LN85189646,0.65207
LN37326351,0.10594817
LN11400508,0.39020503
LN89159921,0.78036886
LN36487825,0.5579226
LN53209322,0.2874406
LN78110040,0.5726035
LN30223936,0.493025
LN31791742,0.08674448
LN74065587,0.16800854
LN18341432,0.36274955
LN37984286,0.49713767
LN42197705,0.55686915
LN94699395,0.53199136
LN48533764,0.085344985
LN52807722,0.2198211
LN32139748,0.18592557
LN43523669,0.3270704
LN57334347,0.7900154
LN77259408,0.22590278
LN29418658,0.19425009
LN63765475,0.121664815
LN99176622,0.46681282
LN20107784,0.4694496
LN97587597,0.39372852
LN16902188,0.23953457
LN95232672,0.36735198
LN18755382,0.24920651
LN84417912,0.7469278
LN26200236,0.59488565
LN81714699,0.1903599
LN85565501,0.11402005
LN86030579,0.6200441
LN11585473,0.6848757
LN18774299,0.5737084
LN79651711,0.364877
LN48207157,0.102354154
LN19264744,0.11350699
LN68196062,0.4216746
LN72251099,0.114739835
LN45406158,0.75038743
LN82370408,0.66395533
LN15279290,0.40147293
LN10143521,0.16653503
LN18236653,0.18584055
LN83033281,0.3859489
LN50783093,0.4900838
LN79860716,0.16018486
LN61406694,0.62715495
LN72854656,0.64807314
LN97890090,0.5365081
LN15148844,0.55522656
LN78389026,0.68654776
LN69511079,0.35224602
LN80500486,0.4277045
LN37316692,0.72480667
LN86953165,0.20214492
LN72056253,0.3197814
LN64441636,0.6780845
LN35998277,0.18654288
LN68473098,0.13071762
LN69894777,0.43728322
LN66875717,0.4771452
LN59584615,0.6818387
LN71403373,0.22908938
LN20454947,0.47271445
LN38875174,0.5909129
LN63540677,0.4216502
LN54502893,0.24904607
LN69977937,0.7165362
LN32288618,0.1185131
LN31308739,0.24774906
LN90965711,0.16337258
LN65082211,0.47775292
LN40104989,0.5765988
LN77072861,0.7402269
LN85156713,0.66526437
LN78727240,0.23955849
LN85795103,0.49647337
LN34289753,0.7129579
LN91954967,0.47470444
LN46175141,0.13824807
LN54458905,0.18600675
LN50567958,0.45800972
LN18088382,0.25203678
LN49468903,0.5736189
LN41338120,0.39620715
LN11668419,0.6313429
LN66137161,0.4072333
LN96649884,0.52989244
LN75643261,0.4182481
LN45993656,0.46743253
LN84542746,0.4131942
LN62098396,0.44154924
LN86755979,0.7446383
LN97352627,0.502876
LN46231168,0.56666887
LN99685542,0.3861436
LN29595987,0.25681287
LN92948118,0.44860187
LN10693853,0.28886414
LN91406580,0.46367627
LN34730252,0.6050273
LN25215329,0.11694863
LN15869713,0.21185364
LN43441610,0.4368461
LN95512375,0.31210104
LN32862785,0.6154339
LN10264620,0.11980995
LN33354291,0.18129365
LN76040853,0.5867752
LN59626615,0.27626806
LN84568946,0.42675892
LN71714762,0.33062357
LN31573024,0.31624418
LN71513146,0.25353193
LN65911385,0.07342342
LN50603572,0.07372254
LN30878900,0.08680577
LN68345546,0.2479951
LN52740797,0.3765088
LN12889051,0.15388185
LN99458939,0.12791061
LN50740504,0.30590498
LN63309711,0.3100907
LN68294951,0.23597382
LN57233586,0.28456032
LN73838695,0.19990185
LN47508638,0.304298
LN91166996,0.6176567
LN60881755,0.11645096
LN73594046,0.08108106
LN64217989,0.7193019
LN39159316,0.651875
LN15640678,0.5966337
LN58354053,0.6100967
LN23062207,0.49285012
LN38570548,0.4260233
LN98861043,0.42433062
LN50265197,0.63058287
LN43249595,0.27114907
LN40128786,0.42559114
LN17529926,0.53348184
LN70345872,0.5366872
LN10918469,0.6708571
LN78706351,0.14617501
LN60815889,0.43722716
LN47106433,0.42633954
LN57148805,0.41610277
LN73067350,0.30537504
LN83278575,0.44744444
LN25298272,0.2246906
LN27658324,0.70725167
LN92394103,0.33330235
LN83512010,0.65085924
LN78277447,0.7406537
LN82916034,0.61866355
LN29341621,0.51992494
LN31421109,0.49428156
LN77468642,0.59091157
LN69333647,0.6936072
LN89788287,0.4818518
LN12002112,0.48816726
LN15496507,0.115208335
LN24127441,0.5260751
LN76410474,0.6386595
LN28140997,0.7671367
LN13210796,0.15792586
LN88982839,0.26149717
LN31319465,0.11573477
LN89509117,0.29566503
LN35700668,0.6721442
LN89197201,0.6232228
LN59896585,0.3043006
LN22439674,0.17107934
LN54551292,0.65493846
LN93110933,0.7786753
LN86761172,0.61372477
LN83022464,0.48767307
LN37013991,0.14639401
LN83121387,0.4834901
LN26039750,0.18182547
LN64746564,0.5948541
LN15904013,0.23965666
LN24797242,0.63936794
LN74675862,0.4315538
